MouseID,DYRK1A_C,ITSN1_C,BDNF_C,NR2A_C,pAKT_C,pCAMKII_C,pELK_C,pERK_C,pJNK_C,PKCA_C,pMEK_C,pNR1_C,pNR2A_C,pNR2B_C,pPKCAB_C,pRSK_C,AKT_C,BRAF_C,CAMKII_C,ELK_C,ERK_C,GSK3B_C,JNK_C,MEK_C,TRKA_C,RSK_C,CTNNB1_C,SOD1_C,MTOR_C,pMTOR_C,RCAN1_C,AMPKA_C,NR2B_C,pNUMB_C,RAPTOR_C,TIAM1_C,pP70S6_C,NUMB_C,P70S6_C,pPKCG_C,CDK5_C,S6_C,RRP1_C,BAX_C,ARC_C,ERBB4_C,nNOS_C,GAD2_C,GluR4_C,CASP3_C,IL1B_C,P35_25_C,pCASP9_C,PSD95_C,Ubiquitin_C,pGSK3B_Tyr216_C,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,CTNNB1_N,SOD1_N,MTOR_N,pMTOR_N,RCAN1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_S9_N,pPKCG_N,CDK5_N,S6_N,H3AcK9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,GFAP_N,GAD2_N,GluR3_N,GluR4_N,CASP3_N,IL1B_N,P35_25_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,APP_M,DYRK1A_M,ITSN1_M,TIAM1_M,NR1_M,NR2A_M,NR2B_M,pNR1_M,pNR2A_M,pNR2B_M,GluR3_M,GluR4_M,pGluR2_M,BDNF_M,NUMB_M,pNUMB_M,TRKA_M,PSD95_M,SYP_M,SNCA_M,Genotype,Treatment,Behavior,class
3488_9,1.4894,1.5096,0.3745,0.4168,0.3479,0.4556,1.0923,1.2506,0.5908,0.2443,0.4305,0.4013,0.2833,1.1656,0.3628,0.2876,0.7794,0.34,0.1412,0.1022,0.9253,0.6164,0.2498,0.3723,0.4886,0.1805,0.1603,0.5674,0.3948,0.4276,2.2351,0.5628,0.2922,0.1957,0.2442,0.6133,1.7925,0.1027,1.7599,0,1.0488,1.8467,0.2529,0.3412,0.3062,0.1394,0.2833,0.5187,0.1334,0.2375,0.6528,0.1756,0.9078,0.1927,0.2846,3.998,0.6588,1.0238,0.3722,2.3807,1.2875,0.3431,1.0276,0.2975,1.2462,0.423,0.8523,0.2064,0.3125,1.531,1.0699,0.8563,0.4127,0.3619,0.484,0.1562,0.1729,0.2589,0.2369,0.4719,0.6279,0.2427,0.4889,1.7145,0.3068,0.1678,1.3932,0.6258,0.5125,0.6248,1.0011,0.4991,0.6801,0.2971,0.3554,0.6363,0.942,0.1391,1.3618,0.1754,2.4923,0.8385,0.7392,0.3832,0.3972,0.4893,0.3852,0.2743,0.3747,0.2132,0.3645,0.7213,0.4238,0.263,0.6527,0.2991,1.072,3.7928,0.2023,0.8867,2.2524,0.3253,0.4583,0.9606,2.9321,0.6626,2.2564,2.2805,1.0403,1.569,0.3621,0.9261,0.5313,0.6719,0.3869,0.4065,0.423,0.7214,0.65,0.7467,2.4148,0.1784,Control,Saline,S/C,CSS
3489_1,1.0201,1.1633,0.4123,0.3516,0.4246,0.9234,0.8085,1.0281,0.546,0.2095,0.5059,0.3548,0.2977,1.4,0.524,0.3085,0.8183,0.2838,0.1444,0.1121,1.807,1.014,0.3046,0.4101,0.6017,0.2383,0.1483,0.7202,0.3837,0.4366,2.1333,0.5524,0.2805,0.3026,0.2714,0.7995,1.645,0.1019,1.7652,0,0.9287,1.3309,0.2827,0.3511,0.2894,0.1726,0.2408,0.4285,0.1691,0.2539,0.6144,0.2169,1.1748,0.1857,0.3276,3.1658,0.5206,0.8979,0.3649,2.1499,1.3237,0.3372,1.5253,0.282,0.8427,0.3079,0.7233,0.1747,0.3051,1.4842,0.9838,0.8736,0.3471,0.3795,0.5207,0.1045,0.1542,0.2068,0.2379,0.5336,0.7277,0.2131,0.5314,1.4966,0.3188,0.2251,1.2945,0.7716,0.472,0.5578,0.903,0.4829,0.5804,0.2718,0.3862,0.6833,0.817,0.146,1.5323,0.2004,2.0584,0.7724,0.8437,0.3687,1.1196,0.5005,0.3533,0.2697,0.345,0.1978,0.3168,0.652,0.3947,0.2718,0.6318,0.3316,1.4418,3.4138,0.181,0.8622,1.9211,0.3371,0.4849,0.8113,2.7876,0.6023,1.5385,1.3655,0.8597,1.2243,0.3372,0.8578,0.4364,0.5251,0.3529,0.459,0.441,0.6651,0.5906,0.4977,2.2278,0.1619,Control,Saline,S/C,CSS
3489_10,1.3569,1.1814,0.3381,0.3816,0.3668,0.9122,0.8656,0.9414,0.5403,0.2262,0.5522,0.4026,0.2808,1.3918,0.5143,0.2524,0.9169,0.3166,0.1594,0.1417,1.7452,1.1261,0.3274,0.4496,0.8197,0.1567,0.1065,0.8952,0.3827,0.4789,2.3026,0.5574,0.2797,0.2924,0.2097,0.6447,2.163,0.0893,1.9171,0,0.9625,1.4502,0.2033,0.3082,0.2823,0.1176,0.2137,0.3289,0.1304,0.2329,0.725,0.1513,0.9937,0.1503,0.2859,3.323,0.6293,0.9965,0.3323,2.3205,1.1333,0.3665,1.3886,0.2688,1.0146,0.3879,0.8974,0.1937,0.3603,1.5514,1.1049,0.8572,0.4211,0.372,0.5623,0.1208,0.196,0.206,0.2139,0.4721,0.7027,0.2429,0.5482,1.5186,0.2831,0.2126,1.126,0.6585,0.5895,0.6831,1.1719,0.4547,0.715,0.2877,0.3611,0.6857,1.0145,0.1385,1.3154,0.1727,2.4758,0.8128,0.6495,0.3764,1.1006,0.5079,0.3941,0.267,0.3448,0.1814,0.3386,0.642,0.4125,0.3154,0.7554,0.3023,1.3234,3.8767,0.1665,0.9201,2.1839,0.3048,0.5509,0.8568,2.9353,0.8122,1.7368,1.4655,0.8957,1.2651,0.4221,1.1212,0.5364,0.696,0.5415,0.483,0.4692,0.7318,0.6979,0.5245,1.9611,0.1891,Control,Saline,S/C,CSS
3489_11,1.227,1.1523,0.3362,0.3697,0.3742,0.9101,0.8082,0.9769,0.5515,0.2265,0.5672,0.3947,0.3135,1.3548,0.4799,0.2583,0.9061,0.3124,0.1685,0.1395,1.7104,1.1461,0.3258,0.4904,0.797,0.1495,0.119,0.8626,0.3853,0.4701,2.2149,0.5209,0.2715,0.2997,0.1937,0.6164,2.1066,0.0916,1.8341,0,0.926,1.4262,0.2012,0.3147,0.2552,0.1096,0.2027,0.3519,0.092,0.2317,0.7242,0.1489,1.0253,0.1503,0.265,3.3307,0.6184,0.9565,0.3219,2.2914,1.1601,0.3628,1.3565,0.2588,1.0364,0.3891,0.8611,0.1829,0.3638,1.5344,1.1022,0.8642,0.4031,0.3613,0.5161,0.1238,0.1928,0.2085,0.2212,0.4678,0.7089,0.2339,0.5614,1.5442,0.2835,0.204,1.1071,0.6801,0.5953,0.6826,1.1224,0.453,0.735,0.286,0.3128,0.6173,1.0417,0.1322,1.2523,0.173,2.4342,0.7989,0.6302,0.3835,0.9048,0.4787,0.3801,0.2678,0.3309,0.1919,0.3293,0.614,0.396,0.305,0.7371,0.3158,1.3465,3.6881,0.1689,0.92,2.1109,0.3048,0.5393,1.0626,2.8448,0.6528,1.6945,1.5043,0.9215,1.2791,0.3687,1.1331,0.5288,0.6853,0.5147,0.4693,0.4491,0.7166,0.6791,0.5258,1.8834,0.2264,Control,Saline,S/C,CSS
3489_12,1.1908,1.1118,0.3317,0.3834,0.3599,0.9375,0.8592,0.9958,0.5317,0.2277,0.5755,0.4074,0.3134,1.4601,0.5232,0.263,0.9183,0.3105,0.1652,0.1416,1.7513,1.1216,0.3206,0.512,0.8086,0.1469,0.1172,0.8591,0.4085,0.4579,2.0969,0.5595,0.2749,0.2818,0.2,0.6034,2.1427,0.0912,1.7679,0,0.9645,1.4298,0.2042,0.3027,0.2477,0.1126,0.1969,0.3573,0.1,0.2244,0.7134,0.1433,1.0341,0.1515,0.2844,2.9992,0.6345,0.9653,0.3284,2.2488,1.1462,0.362,1.3319,0.264,0.9933,0.382,0.8717,0.1897,0.3642,1.5646,1.0918,0.8777,0.413,0.3575,0.4972,0.141,0.1929,0.2224,0.2301,0.4608,0.7063,0.2425,0.559,1.506,0.2895,0.2184,1.1076,0.6496,0.5898,0.6802,1.1232,0.5019,0.7215,0.28,0.3382,0.6231,1.0375,0.1351,1.2268,0.1721,2.2911,0.7979,0.6422,0.3917,1.1429,0.4896,0.3852,0.264,0.3364,0.1975,0.3366,0.6142,0.389,0.2989,0.7503,0.3063,1.3268,3.6641,0.1634,0.9535,2.1565,0.297,0.5109,0.8743,2.6251,0.612,1.5126,1.4371,0.8589,1.1651,0.3731,1.0509,0.5046,0.6143,0.424,0.4611,0.424,0.6577,0.6463,0.4783,1.7154,0.1766,Control,Saline,S/C,CSS
3489_13,1.5563,1.3423,0.3657,0.3586,0.4192,0.911,0.9103,1.1382,0.5964,0.2306,0.5719,0.4006,0.2935,1.3479,0.4945,0.2988,0.9907,0.3232,0.1722,0.1594,1.7565,1.1377,0.3506,0.4989,0.8933,0.1901,0.1282,0.9168,0.4267,0.5011,2.3294,0.6115,0.2975,0.2793,0.2285,0.6226,2.4391,0.0959,1.908,0,1.0373,1.4487,0.2358,0.3573,0.3038,0.1343,0.214,0.3902,0.1165,0.2469,0.6597,0.1569,0.9515,0.1667,0.3032,3.6594,0.633,0.976,0.3154,2.2489,1.1683,0.3428,1.3956,0.2545,1.0153,0.4049,0.9134,0.2091,0.4112,1.6203,1.2199,0.9086,0.4651,0.3465,0.5861,0.1372,0.2191,0.2065,0.248,0.48,0.7614,0.2871,0.5994,1.637,0.2898,0.218,1.0536,0.7147,0.6704,0.7661,1.2244,0.4556,0.8164,0.3251,0.3265,0.638,1.1849,0.128,1.2418,0.1692,2.4145,0.821,0.6109,0.3625,1.0155,0.5001,0.4077,0.2567,0.3314,0.1797,0.3449,0.6107,0.3997,0.2948,0.8591,0.3248,1.4045,3.6801,0.1654,0.9866,2.1926,0.3044,0.5995,1.0256,3.062,0.7134,1.7839,2.5732,0.962,1.3199,0.4849,1.2843,0.6266,0.7568,0.5833,0.488,0.5383,0.7692,0.7684,0.5391,1.8792,0.2432,Control,Saline,S/C,CSS
3489_14,1.4817,1.3862,0.3749,0.3636,0.3862,0.9126,0.9657,1.1074,0.6307,0.2364,0.604,0.4004,0.2847,1.3601,0.4914,0.2974,0.9583,0.329,0.1774,0.1517,1.8004,1.1601,0.3268,0.5011,0.9144,0.1608,0.1428,0.8909,0.4137,0.5047,2.3418,0.6003,0.3011,0.3029,0.2378,0.6172,2.4319,0.1029,1.9011,0,1.0202,1.4463,0.2327,0.3637,0.3311,0.1332,0.2395,0.4075,0.1225,0.2468,0.6643,0.1561,0.9807,0.1776,0.2861,3.6121,0.6342,0.9825,0.3279,2.2862,1.1326,0.363,1.3812,0.2655,1.0613,0.3923,0.9532,0.1959,0.4063,1.6341,1.2052,0.9,0.4366,0.3423,0.6978,0.1427,0.2158,0.2208,0.2421,0.4738,0.7413,0.2907,0.599,1.6102,0.2994,0.2109,1.0737,0.7077,0.672,0.7735,1.2625,0.4683,0.82,0.3269,0.3376,0.6324,1.1711,0.1298,1.2298,0.1834,2.3902,0.7891,0.6324,0.3685,0.8972,0.5153,0.416,0.2717,0.3303,0.1987,0.3436,0.6103,0.4049,0.2932,0.8342,0.315,1.3279,3.6838,0.1775,0.9592,2.1835,0.3158,0.5613,0.9431,2.8486,0.729,1.6773,1.5953,1.0066,1.2696,0.4653,1.2275,0.616,0.7784,0.5155,0.4911,0.4476,0.7341,0.7223,0.5384,1.8287,0.2304,Control,Saline,S/C,CSS
3489_15,1.4383,1.3026,0.3572,0.4033,0.3773,0.9283,0.9428,1.0662,0.6296,0.2256,0.58,0.4182,0.2911,1.4807,0.4974,0.2957,0.9367,0.2955,0.1711,0.1851,1.7674,1.1539,0.343,0.5809,0.9037,0.1532,0.1214,0.8892,0.4393,0.5097,2.328,0.5882,0.31,0.3026,0.2109,0.5972,2.4868,0.0991,1.8172,0,0.9459,1.4399,0.2231,0.3561,0.2978,0.1198,0.2173,0.3932,0.1256,0.2337,0.653,0.1644,0.9645,0.1749,0.2867,3.4478,0.6328,0.9636,0.3173,2.2656,1.1242,0.3489,1.3455,0.2569,0.9979,0.3815,0.9626,0.1929,0.3921,1.5797,1.1713,0.8733,0.4233,0.3568,0.5238,0.1301,0.1995,0.2036,0.2427,0.4637,0.7103,0.2708,0.5872,1.5764,0.2802,0.217,1.0714,0.6871,0.6521,0.7408,1.228,0.4499,0.785,0.3046,0.2978,0.6232,1.128,0.1321,1.1831,0.1707,2.4605,0.7948,0.6298,0.3636,1.0985,0.4916,0.4165,0.2649,0.3277,0.1949,0.3427,0.606,0.3886,0.2997,0.7936,0.3062,1.3024,3.7008,0.1655,0.9655,2.1968,0.3019,0.52,0.8896,2.6628,0.65,1.5213,1.5037,0.9079,1.1374,0.3879,1.1212,0.564,0.6628,0.4638,0.4448,0.4604,0.696,0.6554,0.4915,1.6682,0.216,Control,Saline,S/C,CSS
3489_2,0.9259,1.0309,0.3855,0.3714,0.3775,0.9524,0.7229,0.9489,0.5003,0.2107,0.5219,0.3783,0.3062,1.4532,0.5129,0.2823,0.8344,0.288,0.1397,0.1207,1.7845,1.0597,0.3004,0.4321,0.6201,0.2204,0.1329,0.7403,0.3985,0.4495,1.9809,0.5467,0.2907,0.3192,0.2511,0.772,1.6437,0.0955,1.5984,0,0.8953,1.2324,0.2747,0.3164,0.2837,0.1601,0.2282,0.4029,0.1586,0.2428,0.6534,0.2145,1.2258,0.1702,0.2983,2.933,0.5309,0.8903,0.3636,2.0868,1.3199,0.3316,1.4797,0.2678,0.8052,0.3187,0.7144,0.1723,0.3108,1.501,0.9952,0.8825,0.3356,0.3704,0.4772,0.1038,0.1519,0.2107,0.2331,0.5204,0.7118,0.2116,0.5403,1.5206,0.3265,0.2185,1.2897,0.77,0.4744,0.5571,0.8674,0.4927,0.6021,0.262,0.3792,0.6581,0.8236,0.1448,1.5103,0.1981,2.1513,0.7963,0.8311,0.3602,1.0057,0.4923,0.343,0.2688,0.3401,0.202,0.3059,0.6478,0.3712,0.2867,0.5988,0.3331,1.4454,3.4402,0.1753,0.922,1.9016,0.3163,0.4796,0.8196,2.7468,0.5743,1.5063,1.3712,0.8514,1.1871,0.3301,0.8286,0.4355,0.5322,0.3439,0.449,0.4344,0.655,0.5954,0.4883,2.2416,0.1621,Control,Saline,S/C,CSS
3489_3,0.8735,0.9502,0.3548,0.4087,0.3453,0.9741,0.6577,0.9142,0.4535,0.202,0.5524,0.3683,0.3281,1.6418,0.5265,0.2651,0.8551,0.2954,0.1407,0.133,1.8559,1.0501,0.2958,0.4783,0.6706,0.1955,0.1176,0.7779,0.3959,0.4556,1.8178,0.4563,0.2923,0.331,0.2141,0.7275,1.7457,0.0905,1.433,0,0.8081,1.1257,0.2156,0.293,0.2543,0.1408,0.2124,0.3781,0.1463,0.2219,0.6025,0.1831,1.1239,0.16,0.2765,2.6178,0.508,0.8642,0.3524,2.0815,1.3053,0.3124,1.4684,0.2643,0.78,0.2991,0.6874,0.176,0.2962,1.4386,0.9458,0.8799,0.3395,0.3504,0.4643,0.1027,0.1509,0.2053,0.23,0.5052,0.6985,0.2044,0.5115,1.4414,0.325,0.2156,1.2501,0.747,0.4582,0.5335,0.8651,0.4727,0.5783,0.2638,0.3411,0.6522,0.7839,0.1407,1.4799,0.1886,2.1403,0.7484,0.7966,0.3558,1.167,0.4796,0.3321,0.2556,0.3246,0.1945,0.2962,0.6322,0.3564,0.2784,0.6097,0.3196,1.4163,3.2884,0.1655,0.8845,1.8435,0.3002,0.4676,0.8343,2.6262,0.5838,1.5022,1.3384,0.8426,1.1787,0.324,0.8129,0.4458,0.5185,0.345,0.4532,0.4258,0.6342,0.5631,0.4823,2.1984,0.1633,Control,Saline,S/C,CSS
3489_4,1.2072,1.2424,0.3918,0.3327,0.3758,0.9096,0.7942,1.1729,0.5621,0.213,0.5128,0.3521,0.2785,1.4011,0.5108,0.2745,0.8373,0.2787,0.1441,0.1142,1.7251,1.0374,0.3068,0.3821,0.6254,0.194,0.1591,0.7947,0.3719,0.4446,2.2064,0.6119,0.271,0.291,0.2461,0.6431,1.7938,0.0965,2.0209,0,0.9863,1.4674,0.2327,0.3331,0.2808,0.1285,0.2247,0.3918,0.1239,0.2338,0.6359,0.1581,1.0259,0.1743,0.314,3.5289,0.6271,0.9861,0.3585,2.2951,1.2671,0.3226,1.4513,0.2789,1.0411,0.3847,0.8031,0.1848,0.3287,1.5339,1.022,0.8843,0.3802,0.3808,0.5087,0.1143,0.1678,0.2016,0.2355,0.506,0.7122,0.2294,0.5347,1.5073,0.3024,0.2065,1.3083,0.6896,0.5121,0.6233,0.9957,0.501,0.6469,0.2884,0.3572,0.7127,0.9234,0.1454,1.5408,0.1653,2.5322,0.8162,0.8002,0.3515,1.1353,0.5051,0.363,0.2615,0.3371,0.1912,0.3223,0.6487,0.3968,0.2654,0.6255,0.3177,1.4649,3.7455,0.1726,0.8644,2.2313,0.3059,0.5166,0.8631,3.0138,0.6378,1.6434,1.486,0.8743,1.2734,0.3674,0.9597,0.4815,0.5905,0.4372,0.4614,0.4588,0.6904,0.6505,0.5117,2.2965,0.1928,Control,Saline,S/C,CSS
3489_5,1.1675,1.2274,0.384,0.3475,0.3809,0.9049,0.8053,1.1415,0.5659,0.2106,0.5043,0.3598,0.2869,1.3365,0.4895,0.2815,0.8295,0.2788,0.1427,0.1202,1.6972,1.0442,0.3008,0.3932,0.6454,0.1861,0.1443,0.7977,0.3681,0.4466,2.3136,0.5722,0.2712,0.2941,0.2414,0.6624,1.6761,0.0994,1.9613,0,0.9711,1.5206,0.2265,0.3359,0.2887,0.1375,0.232,0.4029,0.1289,0.2411,0.6048,0.1548,1.0333,0.1764,0.307,3.6191,0.6011,0.99,0.3458,2.2384,1.2124,0.3054,1.437,0.27,1.0056,0.3667,0.7736,0.1757,0.3222,1.5011,1.015,0.8909,0.3533,0.3667,0.4921,0.1134,0.1696,0.2045,0.2302,0.4976,0.7107,0.2255,0.5363,1.5127,0.2934,0.2032,1.2845,0.6878,0.5197,0.6133,0.9625,0.4845,0.6308,0.2728,0.3841,0.6683,0.8785,0.1421,1.4938,0.1702,2.486,0.8099,0.8018,0.3459,0.9923,0.4847,0.3545,0.2685,0.3327,0.1904,0.3144,0.6432,0.3834,0.2759,0.6126,0.2952,1.4188,3.6121,0.165,0.8695,2.121,0.3019,0.4964,0.8351,2.8118,0.6039,1.5613,1.3247,0.8631,1.2183,0.3588,0.9556,0.4609,0.5656,0.3896,0.4427,0.4477,0.6724,0.6111,0.4853,2.2122,0.1771,Control,Saline,S/C,CSS
3489_6,1.1897,1.2589,0.4126,0.3636,0.4024,0.9489,0.8411,1.1359,0.5764,0.2103,0.534,0.3801,0.3008,1.4465,0.5237,0.3058,0.8396,0.2905,0.1418,0.1306,1.7622,1.0724,0.307,0.4699,0.6701,0.2013,0.1394,0.8149,0.3808,0.4392,2.2779,0.6456,0.2829,0.296,0.2473,0.6602,1.7084,0.1077,1.9092,0,1.0338,1.5679,0.2336,0.3471,0.2895,0.1388,0.2467,0.4315,0.1443,0.2476,0.6209,0.154,1.0501,0.1912,0.3503,3.6811,0.5981,0.956,0.3403,2.1718,1.2122,0.3041,1.373,0.2625,0.982,0.3649,0.7553,0.1739,0.3195,1.4977,0.9831,0.8693,0.3557,0.3498,0.4589,0.11,0.1639,0.195,0.2204,0.4844,0.6957,0.2209,0.5134,1.449,0.2906,0.2101,1.2793,0.6663,0.5057,0.5914,0.9839,0.4797,0.6259,0.267,0.3883,0.6511,0.8497,0.1413,1.4611,0.1659,2.4444,0.8019,0.8047,0.3473,1.1766,0.4822,0.3421,0.2683,0.3389,0.1816,0.3128,0.6304,0.3917,0.2463,0.6275,0.3042,1.4492,3.702,0.1566,0.8717,2.1282,0.2852,0.4926,0.8876,2.7684,0.5937,1.5463,1.407,0.8426,1.1973,0.3479,0.9109,0.4438,0.5594,0.3649,0.4562,0.4222,0.663,0.6054,0.4738,2.2086,0.157,Control,Saline,S/C,CSS
3489_7,1.218,1.1713,0.3721,0.3479,0.3594,0.8981,0.7591,1.0468,0.5845,0.2284,0.5201,0.3669,0.2705,1.3398,0.4975,0.2746,0.895,0.2981,0.1462,0.122,1.7393,1.083,0.3106,0.3783,0.6964,0.18,0.1447,0.7964,0.3783,0.4237,2.1995,0.5744,0.2621,0.2883,0.2416,0.6003,1.9195,0.0935,1.8445,0,1.0057,1.5225,0.2453,0.3334,0.2641,0.1245,0.2056,0.3849,0.1178,0.2507,0.6958,0.1599,1.0534,0.175,0.3149,3.46,0.6338,1.0582,0.3551,2.3544,1.1784,0.334,1.4132,0.2822,1.051,0.3866,0.888,0.182,0.3343,1.5278,1.0441,0.85,0.4026,0.3681,0.5016,0.1038,0.176,0.2108,0.2244,0.4863,0.7062,0.2213,0.5268,1.4926,0.303,0.2132,1.2202,0.678,0.5387,0.6389,1.0916,0.4822,0.6552,0.2788,0.3682,0.6653,0.9736,0.1448,1.5427,0.1653,2.653,0.8421,0.7098,0.48,1.092,0.507,0.3885,0.2674,0.3474,0.1801,0.3385,0.6216,0.4122,0.3077,0.6931,0.3003,1.4502,3.8132,0.1733,0.8618,2.2446,0.3252,0.5664,0.9101,2.9287,0.6925,1.6925,1.538,0.9561,1.2992,0.3948,1.0925,0.555,0.6765,0.5132,0.4961,0.4646,0.7478,0.6775,0.5328,2.0326,0.2114,Control,Saline,S/C,CSS
3489_8,1.1622,1.2075,0.3703,0.3633,0.3624,0.8949,0.7225,1.0469,0.5689,0.2178,0.5423,0.3802,0.2814,1.3453,0.4721,0.2811,0.8744,0.3011,0.1511,0.1278,1.7452,1.0946,0.3049,0.3885,0.7302,0.1721,0.1454,0.8177,0.3935,0.4369,2.2646,0.5692,0.2717,0.2839,0.2359,0.6108,1.8841,0.0932,1.779,0,1.0274,1.4651,0.2121,0.332,0.2679,0.1269,0.2101,0.3842,0.111,0.2484,0.6974,0.1659,1.0827,0.1665,0.3138,3.2484,0.6307,1.0456,0.3425,2.3487,1.1737,0.3319,1.4143,0.2737,1.0369,0.381,0.8516,0.1762,0.3401,1.5018,1.0621,0.8781,0.3839,0.3713,0.5285,0.1077,0.1818,0.2102,0.2307,0.4947,0.7276,0.2161,0.5399,1.5476,0.2958,0.2099,1.2083,0.6828,0.5555,0.6473,1.0557,0.4669,0.676,0.2689,0.4233,0.6657,0.947,0.1459,1.52,0.1747,2.4904,0.8225,0.6715,0.5068,0.9131,0.5018,0.3801,0.2716,0.3562,0.1935,0.3319,0.6328,0.4017,0.2991,0.681,0.3052,1.4711,3.8258,0.1767,0.9191,2.2109,0.3145,0.5478,0.8372,2.7803,0.6444,1.6096,1.5042,0.897,1.2099,0.3963,1.0422,0.5027,0.6552,0.4331,0.4644,0.436,0.6891,0.6376,0.5047,1.999,0.1873,Control,Saline,S/C,CSS
3489_9,1.1613,1.1879,0.3683,0.3751,0.3604,0.9015,0.748,1.02,0.5588,0.2101,0.5367,0.3713,0.2964,1.4578,0.5019,0.2976,0.8506,0.291,0.1462,0.1396,1.7613,1.0659,0.2866,0.439,0.7107,0.1698,0.1334,0.7926,0.3952,0.432,2.1252,0.591,0.2716,0.2852,0.224,0.6186,1.8672,0.0986,1.7191,0,1.0641,1.4435,0.203,0.3275,0.2638,0.114,0.2132,0.4037,0.1298,0.2533,0.6708,0.1608,1.0925,0.1705,0.2927,3.1682,0.6125,1.0489,0.3482,2.3452,1.1977,0.3322,1.3975,0.2715,1.0519,0.3871,0.8791,0.1782,0.3368,1.5057,1.0536,0.8537,0.383,0.3713,0.4898,0.1111,0.1918,0.2154,0.2249,0.4754,0.7225,0.2268,0.5317,1.4851,0.3069,0.224,1.2398,0.6808,0.5469,0.6436,1.0674,0.4897,0.6838,0.2635,0.3409,0.6469,0.9463,0.1436,1.5278,0.1784,1.6959,0.8425,0.7357,0.507,1.1777,0.5068,0.3879,0.2789,0.3542,0.1992,0.3365,0.6415,0.4025,0.3064,0.7009,0.3112,1.4688,3.8602,0.1671,0.9611,2.2541,0.3164,0.5237,0.917,2.8652,0.6395,1.595,1.5364,0.9091,1.2208,0.3981,1.0357,0.534,0.637,0.4162,0.4836,0.4216,0.682,0.6649,0.4949,1.9643,0.2008,Control,Saline,S/C,CSS
3490_1,1.432,1.5164,0.3331,0.3202,0.4138,1.1265,1.0553,0.9479,0.627,0.2162,0.4957,0.4135,0.3117,1.4558,0.5616,0.279,0.8058,0.379,0.1501,0.1303,1.7773,1.2173,0.3102,0.4436,0.7422,0.1587,0.1498,0.8317,0.4204,0.5244,2.5172,0.6104,0.3108,0.2256,0.22,0.5604,1.9323,0.0908,1.8902,0,0.9604,2.4259,0.2693,0.3662,0.3028,0.1397,0.2673,0.4772,0.1195,0.2212,0.7204,0.2016,1.4492,0.1877,0.2725,3.8034,0.6687,0.9553,0.3028,2.5173,1.3393,0.2902,1.9578,0.2415,1.0891,0.4302,0.9553,0.2224,0.3201,1.6299,1.2275,0.9256,0.4679,0.3475,0.5065,0.1447,0.1725,0.1927,0.2459,0.5001,0.6934,0.2328,0.4998,1.4765,0.2471,0.2282,1.146,0.658,0.49,0.617,1.1318,0.4117,0.6641,0.2973,0.313,0.6201,1.0644,0.12,1.2509,0.1423,3.163,0.7192,0.6386,0.4397,1.1003,0.4847,0.3682,0.2623,0.3347,0.1933,0.3252,0.5986,0.4059,0.2687,0.6373,0.277,1.3603,3.668,0.1509,1.0463,2.1351,0.2682,0.4875,0.8075,2.9802,0.661,1.8356,1.699,0.8994,1.3648,0.4012,0.9149,0.5172,0.6202,0.4554,0.4432,0.4257,0.735,0.6772,0.5259,2.4974,0.1715,Control,Saline,S/C,CSS
3490_10,NA,NA,NA,0.5182,NA,1.1069,NA,NA,NA,0.2386,0.5303,0.4617,0.3385,1.4286,0.5453,NA,0.9379,0.4258,0.1886,0.1569,1.7862,1.2764,0.3548,0.4519,0.8315,NA,NA,1.1022,0.4379,0.5584,NA,NA,0.3824,0.2572,NA,NA,2.5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6633,0.1731,1.2185,NA,NA,NA,NA,NA,NA,NA,1.2009,NA,1.7193,NA,NA,NA,NA,0.2604,0.4592,1.7867,1.443,0.8863,0.5118,NA,0.5898,0.1361,0.2465,NA,0.2989,0.4627,0.7329,0.3416,0.6628,1.6529,NA,NA,NA,0.7174,0.7124,0.835,NA,NA,0.9091,0.395,NA,NA,1.4853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8377,0.2941,1.3889,NA,NA,NA,NA,NA,0.6203,1.1605,2.9421,0.7444,1.8511,1.6162,0.9148,1.3002,0.4632,1.2465,0.603,0.8511,0.555,0.4194,0.3921,0.7758,0.7825,0.5393,1.8404,0.172,Control,Saline,S/C,CSS
